PROJECT,TRAINING-RELEASES,TEST-RELEASE,CLASSIFIER,FEATURE-SELECTION,BALANCING,COST-SENSITIVE,%-TRAINING,PRECISION,RECALL,AUC,KAPPA,ACCURACY,TRUE-NEGATIVE,TRUE-POSITIVE,FALSE-POSITIVE,FALSE-NEGATIVE
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,NO_BALANCING,NO_COST_SENSITIVE,44.36229205175601,0.0,0.0,0.49621815286624205,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_LEARNING,44.36229205175601,0.0,0.0,0.49621815286624205,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_THRESHOLD,44.36229205175601,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,61.45966709346991,0.0,0.0,0.4982970629865534,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,61.45966709346991,0.0,0.0,0.4982970629865534,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,61.45966709346991,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,44.36229205175601,0.0,0.0,0.49621815286624205,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,44.36229205175601,0.0,0.0,0.49621815286624205,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,44.36229205175601,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,SMOTE,NO_COST_SENSITIVE,61.45966709346991,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,SMOTE,SENSITIVE_LEARNING,61.45966709346991,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
BOOKKEEPER," 4.0.0",4.1.0,IBK,NO_FEATURE_SELECTION,SMOTE,SENSITIVE_THRESHOLD,61.45966709346991,0.0,0.0,0.5,0.0,52.159468438538205,157.0,0.0,0.0,144.0
