PROJECT,TRAINING-RELEASES,TEST-RELEASE,CLASSIFIER,FEATURE-SELECTION,BALANCING,COST-SENSITIVE,%-TRAINING,PRECISION,RECALL,AUC,KAPPA,ACCURACY,TRUE-NEGATIVE,TRUE-POSITIVE,FALSE-POSITIVE,FALSE-NEGATIVE
SYNCOPE," 1.0.0-incubating",1.0.1-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,NO_COST_SENSITIVE,50.0,0.0,0.0,0.26186234817813764,0.0,97.3360655737705,475.0,0.0,0.0,13.0
SYNCOPE," 1.0.0-incubating",1.0.1-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_LEARNING,50.0,0.0,0.0,0.26186234817813764,0.0,97.3360655737705,475.0,0.0,0.0,13.0
SYNCOPE," 1.0.0-incubating",1.0.1-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_THRESHOLD,50.0,0.0,0.0,0.5,0.0,97.3360655737705,475.0,0.0,0.0,13.0
SYNCOPE," 1.0.0-incubating",1.0.1-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,66.66666666666667,0.0,0.0,0.25619433198380565,0.0,97.3360655737705,475.0,0.0,0.0,13.0
SYNCOPE," 1.0.0-incubating",1.0.1-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,OVERSAMPLING,SENSITIVE_LEARNING,66.66666666666667,0.0,0.0,0.25619433198380565,0.0,97.3360655737705,475.0,0.0,0.0,13.0
SYNCOPE," 1.0.0-incubating",1.0.1-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,OVERSAMPLING,SENSITIVE_THRESHOLD,66.66666666666667,0.0,0.0,0.5,0.0,97.3360655737705,475.0,0.0,0.0,13.0
SYNCOPE," 1.0.0-incubating",1.0.1-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,UNDERSAMPLING,NO_COST_SENSITIVE,50.0,0.0,0.0,0.26186234817813764,0.0,97.3360655737705,475.0,0.0,0.0,13.0
SYNCOPE," 1.0.0-incubating",1.0.1-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,50.0,0.0,0.0,0.26186234817813764,0.0,97.3360655737705,475.0,0.0,0.0,13.0
SYNCOPE," 1.0.0-incubating",1.0.1-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,UNDERSAMPLING,SENSITIVE_THRESHOLD,50.0,0.0,0.0,0.5,0.0,97.3360655737705,475.0,0.0,0.0,13.0
SYNCOPE," 1.0.0-incubating",1.0.1-incubating,NATIVE_BAYES,NO_FEATURE_SELECTION,SMOTE,NO_COST_SENSITIVE,66.66666666666667,0.0,0.0,0.2508502024291498,0.0,97.3360655737705,475.0,0.0,0.0,13.0
