Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,LOCTOUCHED,CHURN,AVGCHURN,MAXCHURN,NPBM,NPVM,NSM,NAM,LOCM,BUGGY
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,4,2,137,235,"58,75",137,333,2,"0,5",1,2,0,1,2,33,NO
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,5,2,244,340,68,252,436,10,2,6,6,0,1,6,27,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,14,3,1026,1246,89,545,1466,481,"34,36",194,21,14,3,39,216,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,3,3,92,121,"40,33",81,150,11,"3,67",11,4,0,1,4,16,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,4,2,180,195,"48,75",168,210,12,3,8,8,0,0,8,40,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,9,3,471,633,"70,33",487,795,64,"7,11",40,4,9,0,15,111,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,5,3,204,210,42,124,216,80,16,75,8,1,0,9,53,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,7,3,551,621,"88,71",536,691,21,3,16,6,10,4,16,80,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,5,3,149,168,"33,6",133,187,16,"3,2",15,4,0,0,4,32,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,3,3,157,164,"54,67",151,171,6,2,6,15,1,0,16,24,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,1,1,147,147,147,147,147,0,0,0,16,0,0,17,37,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,5,3,137,269,"53,8",126,401,15,3,13,1,0,0,1,84,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,4,3,271,280,70,249,289,22,"5,5",12,4,0,2,4,27,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,9,3,548,1040,"115,56",410,1532,138,"15,33",59,14,0,0,15,275,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,6,2,728,931,"155,17",714,1134,168,28,77,14,8,0,22,319,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,4,2,205,212,53,204,219,1,"0,25",1,11,0,0,11,48,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,2,2,50,53,"26,5",50,56,0,0,0,0,0,0,0,15,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,5,3,185,207,"41,4",184,229,1,"0,2",1,1,3,1,8,36,YES
