Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,LOCTOUCHED,CHURN,AVGCHURN,MAXCHURN,NPBM,NPVM,NSM,NAM,LOCM,BUGGY
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,4,2,137,235,"58,75",137,333,2,"0,5",1,2,0,1,2,33,NO
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,8,4,357,660,"82,5",294,963,145,"18,12",123,6,0,1,6,29,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,51,4,1242,2461,"48,25",545,3680,1603,"31,43",327,52,9,7,64,220,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,6,4,154,189,"31,5",81,224,73,"12,17",53,4,0,1,4,16,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,4,2,180,195,"48,75",168,210,12,3,8,8,0,0,8,40,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,27,4,551,1131,"41,89",487,1711,424,"15,7",129,8,6,0,20,136,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,12,3,361,449,"37,42",124,537,237,"19,75",75,15,4,1,19,61,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,16,4,50,753,"47,06",536,1456,604,"37,75",531,0,0,0,0,21,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,11,3,62,244,"22,18",133,426,175,"15,91",88,0,0,2,8,20,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,5,3,163,173,"34,6",151,183,12,"2,4",6,15,1,0,16,24,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,1,1,147,147,147,147,147,0,0,0,16,0,0,17,37,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,6,3,139,281,"46,83",126,423,17,"2,83",13,1,0,0,1,86,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,9,3,326,335,"37,22",249,344,77,"8,56",12,4,0,2,4,27,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,25,4,648,1313,"52,52",410,1978,358,"14,32",68,17,0,0,18,315,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,23,3,778,1341,"58,3",714,1904,570,"24,78",145,17,5,1,22,321,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,10,4,314,353,"35,3",204,392,114,"11,4",99,14,1,1,15,63,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,3,2,55,62,"20,67",50,69,5,"1,67",5,0,0,0,1,15,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,9,4,191,222,"24,67",184,253,11,"1,22",7,1,3,1,8,37,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,6,3,90,117,"19,5",61,144,29,"4,83",14,7,0,0,7,62,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,14,4,137,252,18,167,367,40,"2,86",15,2,0,0,2,51,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,7,4,79,105,15,80,131,7,1,4,2,0,0,2,38,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,4,3,82,133,"33,25",83,184,3,"0,75",2,5,0,0,5,26,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,33,4,978,2021,"61,24",547,3064,551,"16,7",91,29,2,0,32,271,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,21,4,467,631,"30,05",198,795,299,"14,24",102,11,1,2,13,92,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,13,4,189,293,"22,54",140,397,93,"7,15",38,5,0,0,5,46,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,14,4,153,256,"18,29",178,359,67,"4,79",46,5,1,0,6,38,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,5,3,84,102,"20,4",67,120,17,"3,4",17,0,0,1,2,15,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,11,4,182,247,"22,45",138,312,86,"7,82",34,2,0,0,2,48,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,19,4,358,648,"34,11",170,938,444,"23,37",122,7,5,0,15,41,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,14,3,126,195,"13,93",101,264,31,"2,21",14,4,0,0,4,26,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,4,2,106,111,"27,75",78,116,28,7,27,6,0,0,6,25,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,5,3,109,149,"29,8",87,189,22,"4,4",15,7,0,0,7,23,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,2,2,85,86,43,85,87,0,0,0,0,0,0,4,19,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,9,3,236,243,27,61,250,183,"20,33",54,16,0,0,16,103,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,11,2,314,359,"32,64",216,404,170,"15,45",36,18,0,0,18,167,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,16,3,694,732,"45,75",377,770,327,"20,44",110,53,0,0,53,336,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,13,3,301,494,38,251,687,266,"20,46",123,8,0,0,13,89,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,8,3,153,254,"31,75",193,355,58,"7,25",21,8,0,0,8,35,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,10,3,466,671,"67,1",514,876,78,"7,8",30,19,6,0,26,118,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,7,3,244,287,41,204,330,62,"8,86",35,10,2,2,12,75,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,4,2,192,284,71,144,376,138,"34,5",90,11,0,0,11,112,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,6,2,250,335,"55,83",145,420,168,28,109,7,1,2,8,82,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,12,4,275,314,"26,17",178,353,105,"8,75",34,15,0,1,19,26,YES
