Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,LOCTOUCHED,CHURN,AVGCHURN,MAXCHURN,NPBM,NPVM,NSM,NAM,LOCM,BUGGY
1.0.0-incubating,build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSRootDseServlet.java,2,1,100,100,50,100,100,0,0,0,0,0,0,1,23,NO
1.0.0-incubating,build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSStartStopListener.java,7,1,258,329,47,258,404,34,"4,86",13,2,4,0,6,68,NO
1.0.0-incubating,build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java,6,1,101,113,"18,83",101,126,5,"0,83",2,2,0,0,2,23,NO
1.0.0-incubating,build-tools/src/main/java/org/apache/syncope/buildtools/JarSchemaLdifExtractor.java,2,1,178,178,89,178,178,0,0,0,3,2,0,5,50,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/annotation/FormAttributeField.java,2,2,32,32,16,32,32,0,0,0,0,0,0,0,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/annotation/SchemaList.java,2,2,28,28,14,28,28,0,0,0,0,0,0,0,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/AbstractBaseBean.java,2,2,45,45,"22,5",45,45,0,0,0,3,0,0,3,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/SyncopeConstants.java,4,3,32,40,10,28,46,6,"1,5",4,0,0,0,0,17,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/http/HttpClientParams.java,3,2,33,34,"11,33",33,35,0,0,0,1,0,0,1,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/http/PreemptiveAuthHttpRequestFactory.java,4,2,75,82,"20,5",75,89,2,"0,5",1,1,0,0,2,22,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/mod/AbstractAttributableMod.java,3,3,251,261,87,211,271,40,"13,33",40,35,0,0,35,66,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/mod/AttributeMod.java,2,2,87,87,"43,5",87,87,0,0,0,11,0,0,11,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/mod/MembershipMod.java,3,3,82,84,28,82,86,0,0,0,11,0,0,11,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/mod/ReferenceMod.java,3,2,45,52,"17,33",45,55,4,"1,33",4,2,0,0,2,22,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/mod/RoleMod.java,4,2,143,182,"45,5",143,208,13,"3,25",12,21,0,0,21,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/mod/UserMod.java,2,2,98,98,49,98,98,0,0,0,13,0,0,13,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/report/AbstractReportletConf.java,2,2,46,46,23,46,46,0,0,0,2,0,0,2,16,NO
1.0.0-incubating,client/src/main/java/org/apache/syncope/client/report/ReportletConf.java,2,2,32,32,16,32,32,0,0,0,0,0,0,0,20,NO
