Version,Filename,NR,NAUTHORS,LOC,LOC_ADDED,AVGLOCADDED,MAXLOCADDED,LOCTOUCHED,CHURN,AVGCHURN,MAXCHURN,NPBM,NPVM,NSM,NAM,LOCM,BUGGY
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,4,2,137,235,"58,75",137,333,2,"0,5",1,2,0,1,2,33,NO
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,8,4,244,660,"82,5",294,963,145,"18,12",123,6,0,1,6,27,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,58,4,1026,2519,"43,43",545,3795,1672,"28,83",327,21,14,3,39,216,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,6,4,92,189,"31,5",81,224,73,"12,17",53,4,0,1,4,16,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,4,2,180,195,"48,75",168,210,12,3,8,8,0,0,8,40,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,29,4,471,1167,"40,24",487,1750,457,"15,76",129,4,9,0,15,111,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,14,4,204,494,"35,29",124,616,248,"17,71",75,8,1,0,9,53,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,16,4,551,753,"47,06",536,1456,604,"37,75",531,6,10,4,16,80,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,11,3,149,244,"22,18",133,426,175,"15,91",88,4,0,0,4,32,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,5,3,157,173,"34,6",151,183,12,"2,4",6,15,1,0,16,24,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,1,1,147,147,147,147,147,0,0,0,16,0,0,17,37,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,7,3,137,293,"41,86",126,435,29,"4,14",13,1,0,0,1,84,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,10,3,271,363,"36,3",249,374,103,"10,3",26,4,0,2,4,27,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,27,4,548,1383,"51,22",410,2051,425,"15,74",68,14,0,0,15,275,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,26,3,728,1440,"55,38",714,2004,668,"25,69",145,14,8,0,22,319,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,11,4,205,395,"35,91",204,434,156,"14,18",99,11,0,0,11,48,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,3,2,50,62,"20,67",50,69,5,"1,67",5,0,0,0,0,15,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,9,4,185,222,"24,67",184,253,11,"1,22",7,1,3,1,8,36,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,6,3,61,117,"19,5",61,144,29,"4,83",14,3,0,0,3,43,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,14,4,157,252,18,167,367,40,"2,86",15,3,0,0,3,55,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,7,4,81,105,15,80,131,7,1,4,2,0,0,2,40,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,4,3,84,133,"33,25",83,184,3,"0,75",2,5,0,0,5,26,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,37,4,762,2107,"56,95",547,3184,603,"16,3",91,28,1,0,29,197,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,25,4,248,718,"28,72",198,907,361,"14,44",102,3,0,1,4,61,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,13,4,169,293,"22,54",140,397,93,"7,15",38,5,0,0,5,42,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,16,4,196,294,"18,38",178,421,81,"5,06",46,5,1,0,6,48,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,5,3,67,102,"20,4",67,120,17,"3,4",17,0,0,1,1,15,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,13,4,165,265,"20,38",138,335,99,"7,62",34,1,0,0,1,36,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,22,4,173,691,"31,41",170,1008,460,"20,91",122,5,1,0,6,28,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,14,3,103,195,"13,93",101,264,31,"2,21",14,2,0,0,2,22,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,5,2,78,113,"22,6",78,120,28,"5,6",27,6,0,0,6,23,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,5,3,87,149,"29,8",87,189,22,"4,4",15,3,0,0,3,25,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,2,2,85,86,43,85,87,0,0,0,0,0,0,4,19,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,9,3,105,243,27,61,250,183,"20,33",54,6,0,0,6,50,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,11,2,216,359,"32,64",216,404,170,"15,45",36,12,0,0,12,117,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,20,3,377,857,"42,85",377,901,446,"22,3",110,28,0,0,28,170,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,15,3,253,508,"33,87",251,716,269,"17,93",123,5,1,0,10,82,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,11,3,193,284,"25,82",193,402,71,"6,45",21,9,0,0,9,57,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,15,3,514,731,"48,73",514,970,104,"6,93",30,20,5,0,25,147,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,7,3,204,287,41,204,330,62,"8,86",35,6,2,2,8,58,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,5,2,144,292,"58,4",144,401,147,"29,4",90,10,0,0,10,98,YES
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,6,2,98,335,"55,83",145,420,168,28,109,1,0,1,1,32,NO
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,13,4,181,315,"24,23",178,354,106,"8,15",34,8,0,1,12,26,YES
